100,0.01,1168,1664,1122917,1866042,397083,339125,1959250
100,0.05,2080,2288,306125,1209875,240791,8834,61916
100,0.1,2352,2464,298833,1232958,230167,7583,55833
100,0.5,9248,7152,168458,1380292,53291,24417,44083
1000,0.01,5936,16848,149625,1422708,44542,60000,138208
1000,0.05,13328,21792,151333,1693292,44458,40958,63833
1000,0.1,17744,24768,148583,1729250,43125,62166,70750
1000,0.5,75968,63888,145500,2051833,44667,133958,91667
10000,0.01,46672,169760,154625,2143292,46500,243042,273166
10000,0.05,102464,207264,156125,2472959,45250,246834,272000
10000,0.1,181248,260272,156583,2643208,46542,288208,296167
10000,0.5,771216,656656,154625,2834875,45000,501875,346709
100000,0.01,418448,1696688,169500,3164541,45209,2153917,648667
100000,0.05,998512,2087152,163083,3677542,49375,2307958,786584
100000,0.1,1738608,2583504,170958,3663250,48917,2656625,1088834
100000,0.5,7588192,6511648,174667,3683208,57000,4718458,2741042
1000000,0.01,4020656,16988192,162791,4988625,37000,23064875,4079084
1000000,0.05,9888400,20931040,165125,5006042,49000,22254084,3277916
1000000,0.1,17139632,25803248,165583,5068375,57958,26246834,3200458
1000000,0.5,75623008,65101120,175709,4771041,60375,48700042,3980292
